latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
35.35244,139.87474,313.07,1.33,1.14,2025-04-22,0013,T,0,6.1NRT,294.93,10.82,D
-13.47719,132.38931,307.7,1.01,1,2025-04-22,0026,T,56,6.1NRT,286.36,3.75,D
-14.80706,130.05598,314.14,1.19,1.08,2025-04-22,0026,T,40,6.1NRT,297.84,6.72,D
-14.83721,130.0345,312.98,1.19,1.09,2025-04-22,0026,T,52,6.1NRT,297.55,6.04,D
-15.74689,135.55116,310.41,1.25,1.11,2025-04-22,0026,T,53,6.1NRT,295.32,5.95,D
-15.4906,130.7825,320.08,1.08,1.04,2025-04-22,0026,T,73,6.1NRT,297.78,12.19,D
-15.4921,130.7925,319.35,1.08,1.04,2025-04-22,0026,T,72,6.1NRT,298.51,11.42,D
-15.66982,130.69504,317.2,1.09,1.04,2025-04-22,0026,T,69,6.1NRT,298.95,10.51,D
-16.33567,135.20999,308.99,1.22,1.1,2025-04-22,0026,T,46,6.1NRT,297.56,5.14,D
-16.36628,135.21721,312.46,1.22,1.1,2025-04-22,0026,T,60,6.1NRT,297.81,7.93,D
-16.376,135.21587,315.62,1.22,1.1,2025-04-22,0026,T,68,6.1NRT,297.8,11.54,D
-16.51635,135.43309,316.43,1.26,1.12,2025-04-22,0026,T,44,6.1NRT,299.67,10.35,D
-16.53825,135.43613,324.47,1.26,1.12,2025-04-22,0026,T,79,6.1NRT,299.88,21.24,D
-16.31255,131.97244,309.75,1,1,2025-04-22,0026,T,49,6.1NRT,297.45,4.32,D
-18.42126,130.38536,315.16,1.06,1.03,2025-04-22,0026,T,54,6.1NRT,298.36,7.2,D
-18.42275,130.39514,328.35,1.06,1.03,2025-04-22,0026,T,81,6.1NRT,298.89,22.23,D
-18.42424,130.40494,313.37,1.06,1.03,2025-04-22,0026,T,34,6.1NRT,296.57,6,D
-20.73484,139.48636,309.49,2.83,1.61,2025-04-22,0028,T,56,6.1NRT,296.36,22.63,D
-20.7382,139.47882,311.11,2.83,1.61,2025-04-22,0028,T,59,6.1NRT,296.47,29.78,D
-21.65966,140.33234,311.98,3.37,1.73,2025-04-22,0028,T,66,6.1NRT,296.51,46.19,D
-21.66247,140.36414,325.25,3.39,1.74,2025-04-22,0028,T,81,6.1NRT,296.81,119.47,D
-15.89073,33.03226,311.28,1.05,1.02,2025-04-22,0022,A,82,6.1NRT,290.46,11.2,N
-24.81068,30.12248,303.93,1.01,1,2025-04-22,0024,A,58,6.1NRT,287.36,8,N
56.47124,50.93534,310.49,1.01,1,2025-04-22,0001,A,80,6.1NRT,281.54,13.16,N
7.00318,30.3453,305.08,2.23,1.45,2025-04-22,0016,A,62,6.1NRT,290.7,20.21,N
-25.48773,27.108,300.53,1.12,1.06,2025-04-22,0024,A,29,6.1NRT,284.89,7.47,N
-25.7119,27.40485,312.13,1.09,1.04,2025-04-22,0024,A,84,6.1NRT,286.03,15.42,N
12.60017,35.14921,307.67,1.21,1.09,2025-04-22,0013,A,69,6.1NRT,296.22,7.19,N
56.46898,50.95098,317.47,1.01,1,2025-04-22,0001,A,95,6.1NRT,282.42,18.84,N
9.09027,32.35327,303.79,1.67,1.27,2025-04-22,0013,A,53,6.1NRT,293.67,7.79,N
8.63772,33.26976,307.46,1.41,1.18,2025-04-22,0013,A,71,6.1NRT,291.43,12.61,N
8.53737,33.18528,325.04,1.42,1.18,2025-04-22,0013,A,100,6.1NRT,292.07,38.33,N
8.23077,33.83178,309.76,1.28,1.12,2025-04-22,0013,A,78,6.1NRT,292.11,12.6,N
8.08146,33.86673,302.62,1.27,1.12,2025-04-22,0013,A,50,6.1NRT,291.69,6.25,N
8.07824,33.88897,314.76,1.26,1.12,2025-04-22,0013,A,90,6.1NRT,291.49,17.74,N
8.07664,33.90007,315.91,1.26,1.12,2025-04-22,0013,A,92,6.1NRT,291.5,19.42,N
7.98829,33.36543,306.17,1.36,1.16,2025-04-22,0013,A,67,6.1NRT,291.45,10.05,N
7.98663,33.3774,315.24,1.36,1.15,2025-04-22,0013,A,91,6.1NRT,291.26,20.46,N
7.98921,33.37083,303.1,1.36,1.15,2025-04-22,0013,A,15,6.1NRT,291.23,6.93,N
7.97908,33.36942,319.58,1.36,1.15,2025-04-22,0013,A,99,6.1NRT,291.59,26.13,N
7.95038,33.35321,304.21,1.36,1.16,2025-04-22,0013,A,59,6.1NRT,291.15,8.64,N
7.94868,33.36517,308.83,1.36,1.15,2025-04-22,0013,A,76,6.1NRT,291.47,13.28,N
7.91495,33.38477,318.93,1.35,1.15,2025-04-22,0013,A,98,6.1NRT,291.04,26.15,N
7.91329,33.39666,307.28,1.35,1.15,2025-04-22,0013,A,71,6.1NRT,290.79,11.78,N
7.81692,33.70827,313.31,1.29,1.13,2025-04-22,0013,A,87,6.1NRT,291.32,16.84,N
7.80486,33.5077,304.71,1.32,1.14,2025-04-22,0013,A,61,6.1NRT,290.78,9.05,N
7.80323,33.51933,302.1,1.32,1.14,2025-04-22,0013,A,47,6.1NRT,290.52,6.81,N
7.62836,33.80606,301.12,1.26,1.12,2025-04-22,0013,A,38,6.1NRT,290.34,5.38,N
7.18276,33.42319,306.98,1.31,1.14,2025-04-22,0013,A,70,6.1NRT,290.73,10.45,N
33.2296,44.7743,303.51,1.07,1.03,2025-04-22,0007,A,56,6.1NRT,289.82,6.96,N
31.769,46.05149,310.44,1.26,1.11,2025-04-22,0007,A,67,6.1NRT,290.75,14.77,N
31.76831,46.04459,304.73,1.26,1.11,2025-04-22,0007,A,58,6.1NRT,289.98,10.44,N
30.61803,47.33534,304.8,1.57,1.23,2025-04-22,0007,A,42,6.1NRT,286.86,14.29,N
30.52981,47.60767,303.24,1.64,1.26,2025-04-22,0007,A,54,6.1NRT,290.67,11.6,N
30.5267,47.62404,307.76,1.65,1.26,2025-04-22,0007,A,72,6.1NRT,290.47,17.51,N
30.57345,47.31698,316,1.57,1.23,2025-04-22,0007,A,92,6.1NRT,289.76,27.8,N
30.5705,47.33263,309.19,1.57,1.24,2025-04-22,0007,A,77,6.1NRT,289.82,17.9,N
30.56894,47.1058,310,1.52,1.22,2025-04-22,0007,A,79,6.1NRT,291.88,17.68,N
30.50035,47.32601,300.81,1.58,1.24,2025-04-22,0007,A,34,6.1NRT,290.41,9.02,N
30.40872,47.33572,302.44,1.58,1.24,2025-04-22,0009,A,49,6.1NRT,290.18,9.66,N
30.40423,47.34412,301.26,1.59,1.24,2025-04-22,0009,A,39,6.1NRT,289.7,9.17,N
30.35831,47.34901,301.5,1.59,1.24,2025-04-22,0009,A,42,6.1NRT,290.54,9.2,N
30.28635,47.72398,302.54,1.69,1.28,2025-04-22,0009,A,41,6.1NRT,289.25,11.4,N
30.27533,47.72111,308.14,1.69,1.28,2025-04-22,0009,A,74,6.1NRT,289.4,18.51,N
30.32046,47.35075,301.21,1.6,1.24,2025-04-22,0009,A,39,6.1NRT,290.28,8.79,N
30.2852,47.35844,307.88,1.6,1.25,2025-04-22,0009,A,73,6.1NRT,290.48,17.11,N
30.28219,47.37438,301.78,1.6,1.25,2025-04-22,0009,A,44,6.1NRT,290.45,9.66,N
30.21133,47.38985,307.63,1.61,1.25,2025-04-22,0009,A,72,6.1NRT,290.75,15.63,N
30.20822,47.40588,306.66,1.62,1.25,2025-04-22,0009,A,69,6.1NRT,290.68,14.34,N
30.21829,47.40132,319.73,1.62,1.25,2025-04-22,0009,A,99,6.1NRT,291.46,35.2,N
30.16892,47.4225,312.47,1.62,1.25,2025-04-22,0009,A,85,6.1NRT,291.19,23.55,N
29.01064,47.74528,323.45,1.81,1.32,2025-04-22,0009,A,100,6.1NRT,290.88,53.01,N
29.00721,47.76307,309.44,1.81,1.32,2025-04-22,0009,A,77,6.1NRT,290.78,23.91,N
